date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-06-19,moderna,fully_vaccinated,0,4,1568926,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-20,moderna,fully_vaccinated,0,4,1577779,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-21,moderna,fully_vaccinated,0,4,1614035,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-22,moderna,fully_vaccinated,0,4,1658453,0,NA,0.14,0.01,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-23,moderna,fully_vaccinated,0,4,1704140,0,NA,0.14,0.01,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-24,moderna,fully_vaccinated,0,4,1751413,0,NA,0.14,0.01,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-25,moderna,fully_vaccinated,1,5,1795646,0.06,NA,0.14,0.01,100,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-26,moderna,fully_vaccinated,0,5,1818561,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-27,moderna,fully_vaccinated,0,5,1828383,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-28,moderna,fully_vaccinated,0,5,1871054,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-06-29,moderna,fully_vaccinated,0,5,1918599,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-06-30,moderna,fully_vaccinated,0,5,1972616,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-01,moderna,fully_vaccinated,0,5,2020652,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-02,moderna,fully_vaccinated,0,5,2071198,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-03,moderna,fully_vaccinated,0,5,2104946,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-04,moderna,fully_vaccinated,0,5,2115146,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-05,moderna,fully_vaccinated,0,5,2163883,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-06,moderna,fully_vaccinated,0,5,2212423,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-07,moderna,fully_vaccinated,0,5,2260642,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-08,moderna,fully_vaccinated,0,5,2311447,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-09,moderna,fully_vaccinated,0,5,2359017,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
2021-07-10,moderna,fully_vaccinated,0,5,2387955,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-16_07-53-19
