date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202107,0 - 9,partially_vaccinated,0,0,11,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,0 - 9,not_vaccinated,2,18,880559,0.23,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,0 - 9,unknown,1,3,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,10 - 19,fully_vaccinated,0,0,575,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,10 - 19,partially_vaccinated,0,0,1222,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,10 - 19,not_vaccinated,3,8,851578,0.35,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,10 - 19,unknown,1,4,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,20 - 29,fully_vaccinated,0,0,4891,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,20 - 29,partially_vaccinated,0,0,8702,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,20 - 29,not_vaccinated,2,13,1029024,0.19,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,20 - 29,unknown,3,17,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,30 - 39,fully_vaccinated,0,0,7767,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,30 - 39,partially_vaccinated,0,0,13426,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,30 - 39,not_vaccinated,4,14,1227047,0.33,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,30 - 39,unknown,5,31,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
